4.8,30,0,0,2,0,2,6,20,,1
4.1,20,0,0,1,0,5,3,9,f,4
3.5,20,0,0,2,0,2,4,11,f,3
3.9,30,0,0,1,0,2,6,20,f,2
1.4,20,0,0,2,0,8,3,5,f,2
1.4,30,0,0,4,0,0,5,20,f,3
2.9,20,0,0,3,1,12,2,1,f,4
6.2,30,0,0,0,0,1,4,25,,1
4.6,20,0,0,1,0,8,4,7,,2
4.4,20,0,0,1,0,8,3,7,f,2
4.6,30,0,0,2,0,3,6,19,,2
1.8,20,0,0,2,0,8,3,6,f,2
1.7,20,0,0,1,0,9,3,5,f,2
0.0,30,0,0,0,0,22,2,5,f,51
4.3,20,0,0,3,0,7,3,7,,1
2.1,20,0,0,2,0,6,3,7,f,4
0.0,20,0,0,0,0,14,2,3,f,16
4.2,30,0,0,3,0,2,5,20,,1
2.2,20,0,0,1,0,2,5,12,,1
1.9,20,0,0,2,0,4,3,10,f,2
5.1,20,0,0,2,0,4,5,9,,1
5.0,20,0,0,0,0,6,5,8,f,2
1.2,30,0,0,4,0,0,5,20,f,3
4.7,20,0,0,1,0,5,4,9,f,4
1.6,30,0,0,3,0,0,5,22,,1
2.6,20,0,0,2,0,11,2,2,f,3
4.0,20,0,0,2,0,2,3,12,f,3
1.2,20,0,0,1,0,10,3,5,f,2
2.0,30,0,0,2,0,0,5,23,,1
5.5,20,0,0,0,0,3,3,12,f,3
3.6,20,0,0,1,0,8,3,7,f,2
4.8,20,0,0,1,0,8,4,7,,2
1.5,20,0,0,1,0,8,3,7,f,2
4.5,20,0,0,1,0,4,4,10,f,2
0.9,30,0,0,6,0,0,5,18,f,4
3.9,20,0,0,2,0,2,4,12,,2
1.7,30,0,0,5,0,0,5,20,,1
4.2,20,0,0,0,0,10,3,7,,2
5.7,20,0,0,0,0,3,3,14,,2
3.0,20,0,0,3,1,10,2,2,f,4
3.8,30,0,0,3,0,4,6,17,,1
5.2,20,0,0,0,0,5,4,11,,1
4.3,30,0,0,2,0,3,6,18,f,2
2.6,30,0,0,5,0,0,7,18,,1
1.3,30,0,0,5,0,0,5,20,,1
3.2,20,0,0,3,1,7,2,7,,1
2.5,20,0,0,3,1,10,2,4,,1
1.6,20,0,0,2,1,11,2,3,f,2
3.8,20,0,0,2,0,2,5,11,,2
0.8,30,0,0,7,0,0,6,17,,1
8.5,30,0,0,0,0,0,2,28,,1
6.7,20,0,0,0,0,1,3,16,,1
5.7,30,0,0,2,0,2,4,22,,1
1.9,30,0,0,5,0,0,4,19,f,4
5.1,30,0,0,2,0,2,4,22,,1
4.9,30,0,0,1,0,2,5,22,,1
2.3,20,0,0,3,1,11,2,3,,1
1.5,30,0,0,4,0,0,4,22,,1
7.2,20,0,0,0,0,1,4,15,,1
3.1,30,0,0,3,0,6,6,15,,1
3.3,20,0,0,3,1,7,2,7,,1
2.7,20,0,0,3,1,9,2,4,f,2
2.4,30,0,0,3,0,0,5,22,,1
7.8,20,0,0,0,0,0,2,18,,1
2.1,30,0,0,5,0,0,3,22,,1
1.1,20,0,0,3,1,11,3,2,,1
1.8,30,0,0,5,0,0,5,20,,1
2.4,20,0,0,2,1,9,3,5,,1
1.1,30,0,0,7,0,0,5,16,f,1
5.6,20,0,0,0,0,3,3,14,,1
3.7,30,0,0,3,0,4,5,18,,1
2.2,30,0,0,3,0,1,6,18,f,2
6.0,20,0,0,0,0,2,3,15,,1
3.1,20,0,0,3,1,8,3,5,,1
4.9,20,0,0,0,0,8,4,8,,1
6.8,20,0,0,0,0,1,3,16,,1
